slug,name,gsc_clicks,website,email_found,email_existing,source_url,status,score,candidates,error
oivo-rent-a-car,OIVO Rent A Car,29,,,,,no_website,,,
aphrodite-rent-a-car-buggy-quad,Aphrodite Rent a Car / Buggy/ Quad,27,,,,,no_website,,,
lukas-rent-a-car,Lukas - Rent a Car,24,,,,,no_website,,,
auto-darko-rent-a-car-rijeka,AUTO DARKO rent a car Rijeka,22,,,,,no_website,,,
autovalona-rent-a-car-makina-me-qira-autonoleggio,AutoValona - Rent a Car - Makina me Qira autonoleggio,16,,,,,no_website,,,
rent-a-car-green-island-ilha-da-madeira,Rent a Car Green Island - ilha da Madeira,15,,,,,no_website,,,
prom-rent-a-car-pula-fast-delivery-fair-prices-no-hidden-fee,"PROM | Rent a Car Pula – Fast delivery, fair prices, no hidden fees!",15,,,,,no_website,,,
limani-car-moto-rentals,Limani Car & Moto Rentals,15,,,,,no_website,,,
carpediem-rent-a-car,CarpeDiem Rent A Car,14,http://www.carpediem-rentacar.com,,,,not_found,,,
autos-plus-car-fuerteventura-princess,"Autos Plus Car, Fuerteventura Princess",12,http://www.autospluscar.com,,,,not_found,,,
adria-rent-a-car-murter,ADRIA RENT A CAR MURTER,12,,,,,no_website,,,
auto-planet-rental,Auto Planet Rental,12,https://autoplanetkos.gr,,,,not_found,,,
avant-rent-a-car-playa-del-ingles,Avant Rent a Car Playa del Inglés,11,,,,,no_website,,,
orion-rent-a-car-van-vodice,Orion rent a car & van Vodice,11,,,,,no_website,,,
ag-margaris-car-rentals,AG Margaris Car Rentals,11,,,,,no_website,,,
rent-a-car-pb,Rent a Car PB,11,https://rent-a-car-jolmar.me/en/home-page,,,,not_found,,,
apex-car-montenegro,Apex Car Montenegro,10,http://apexcar.me,info@apexcar.me,,https://apexcar.me/,found,100,info@apexcar.me,
rent-a-star-troms,Rent A Star Tromsø,10,http://rentastar.no,booking@rentastar.no,,https://rentastar.no/,found,100,booking@rentastar.no,
jimmy-auto-moto,Jimmy auto & moto,10,,,,,no_website,,,
abi-rental,Abi Rental,9,,,,,no_website,,,
s-t-a-l-k-e-r-rent-a-car,S.T.A.L.K.E.R. Rent a Car,9,,,,,no_website,,,
easy-rent-pula,Easy Rent Pula,9,https://www.easyrentpula.hr,easyrentpula@gmail.com,easyrentpula@gmail.com,,already_has_email,,,
costa-car-rental-tivat-airport,Costa Car Rental Tivat Airport,9,https://www.carrentaltivat.com,info@carrentaltivat.com,,https://carrentaltivat.com/,found,100,info@carrentaltivat.com,
easy-rent,Easy Rent,8,http://www.dubrovnik-airport-carhire.com,reservations@dubrovnik-airport-carhire.com,,https://dubrovnik-airport-carhire.com/,found,100,info@dubrovnik-airport-carhire.con; reservations@dubrovnik-airport-carhire.com; info@dubrovnik-airport-carhire.com,
cosmorent-thessaloniki-airport,Cosmorent Thessaloniki Airport,8,https://cosmorent.gr,info@cosmorent.gr,,https://cosmorent.gr/,found,100,info@cosmorent.gr,
bridge-g-a-rental-car-parking-taxi-service,"Bridge G.A. Rental Car, Parking, Taxi Service",8,http://bridgega.my.canva.site,,,,not_found,,,
elite-rentals-santorini,Elite Rentals Santorini,8,,,,,no_website,,,
fine-car-rent-a-car-podgorica-airport,"""Fine-Car""- rent a car Podgorica airport",8,,,,,no_website,,,
rent-a-car-blue-palma,Rent a Car Blue Palma,7,https://bluepalma.com,,,,not_found,,,
tic-rent-car-tirana-noleggio-auto,Tic Rent Car Tirana - Noleggio Auto,7,https://ticrentcar.com,info@ticrentcar.com,,https://ticrentcar.com/contact/,found,100,info@ticrentcar.com,
petani-agency-rent-a-car-tirana-office,Petani Agency Rent A Car-Tirana Office,7,,,,,no_website,,,
tuva-rent-a-car-auto-gallery,Tuva Rent A Car & Auto Gallery,7,,,,,no_website,,,
bliss-ibiza-rent-car,BLISS IBIZA RENT CAR,7,,,,,no_website,,,
soa-car-rental,SOA Car Rental,7,,,,,no_website,,,
rent-a-car-pilot,Rent a car PILOT,7,,,,,no_website,,,
port-cars-rent-a-car-barcelona,Port Cars Rent A Car Barcelona,6,https://portcars.es,,,,not_found,,,
flycar-bari,FLYCAR,6,http://www.flycar21.com,amministrazione.rosa@flycar21.com,,https://www.flycar21.com/,found,100,amministrazione.rosa@flycar21.com,
sabuna-car-rental,Sabuna Car Rental,6,https://sabunacar.com,,,,not_found,,,
daniel-s-car-rentals-san-gwann,Daniel’s Car Rentals San Gwann,6,https://danielscarrentals.mt,info@danielscarrentals.mt,,https://danielscarrentals.mt/,found,100,info@danielscarrentals.mt,
zenitcars-car-rental-barcelona-airport-free-shuttle-alquiler,ZenitCars – Car Rental Barcelona Airport | Free Shuttle – Alquiler de Coches Aeropuerto Barcelona | Shuttle Gratis,6,https://zenitcars.com,,,,not_found,,,
arsi-rent-a-car,Arşi Rent a Car,6,,,,,no_website,,,
armida-rent-a-car,Armida Rent a Car,6,https://www.armidarentacar.com,,,,not_found,,,
helens-self-drive-cars-ltd,helens self drive cars ltd,6,,,,,no_website,,,
bto-agency,BTO Agency,6,https://bto-agency.com,,,,not_found,,,
ideal-rent-a-car,Ideal RENT A CAR,6,,,,,no_website,,,
vitanis-moto-atv-rental,Vitanis Moto ATV Rental,6,,,,,no_website,,,
rent-a-car-it-tivat-montenegro,Rent a car IT Tivat Montenegro,6,,,,,no_website,,,
autoshira-car-rental,Autoshira Car Rental,6,,,,,no_website,,,
maxx-rent-a-car,MAXX rent a car,6,,,,,no_website,,,
juanvicars-rent-a-car-fuerteventura,Juanvicars Rent a Car Fuerteventura,6,https://alquilerautosbaratos.blogspot.com,,,,not_found,,,
