tier,rank_gsc_clicks,slug,name,city,country,gsc_clicks_28d,gsc_impressions_28d,phone,whatsapp,email,status,pipeline_stage,campaign_stage,last_contact,last_channel,next_followup,msg_count,notes
A,1,oivo-rent-a-car,OIVO Rent A Car,podgorica,ME,29,179,+38267531117,,,unclaimed,unclaimed,queued,,,,0,
A,2,aphrodite-rent-a-car-buggy-quad,Aphrodite Rent a Car / Buggy/ Quad,larnaca,CY,27,391,+35795575777,,,unclaimed,unclaimed,queued,,,,0,
A,3,lukas-rent-a-car,Lukas - Rent a Car,vlore,AL,24,569,+355692021035,,,unclaimed,unclaimed,queued,,,,0,
A,4,auto-darko-rent-a-car-rijeka,AUTO DARKO rent a car Rijeka,rijeka,HR,22,207,+385915007576,,,unclaimed,unclaimed,queued,,,,0,
A,5,autovalona-rent-a-car-makina-me-qira-autonoleggio,AutoValona - Rent a Car - Makina me Qira autonoleggio,vlore,AL,16,151,+355683644738,,,unclaimed,unclaimed,queued,,,,0,
A,6,rent-a-car-green-island-ilha-da-madeira,Rent a Car Green Island - ilha da Madeira,funchal,PT,15,226,+351962678681,,,unclaimed,unclaimed,queued,,,,0,
A,7,prom-rent-a-car-pula-fast-delivery-fair-prices-no-hidden-fee,"PROM | Rent a Car Pula – Fast delivery, fair prices, no hidden fees!",pula,HR,15,69,+38598440844,,,unclaimed,unclaimed,queued,,,,0,
A,8,limani-car-moto-rentals,Limani Car & Moto Rentals,kos,GR,15,256,6981968896,,,unclaimed,unclaimed,queued,,,,0,
A,9,carpediem-rent-a-car,CarpeDiem Rent A Car,rijeka,HR,14,92,+385915122149,,,unclaimed,unclaimed,queued,,,,0,
A,10,autos-plus-car-fuerteventura-princess,"Autos Plus Car, Fuerteventura Princess",fuerteventura,ES,12,142,+34928827055,,,unclaimed,unclaimed,queued,,,,0,
A,11,adria-rent-a-car-murter,ADRIA RENT A CAR MURTER,zadar,HR,12,120,+385992659095,,,unclaimed,unclaimed,queued,,,,0,
A,12,auto-planet-rental,Auto Planet Rental,kos,GR,12,107,,,,unclaimed,unclaimed,queued,,,,0,
A,13,avant-rent-a-car-playa-del-ingles,Avant Rent a Car Playa del Inglés,gran-canaria,ES,11,118,+34928765700,,,unclaimed,unclaimed,queued,,,,0,
A,14,orion-rent-a-car-van-vodice,Orion rent a car & van Vodice,zadar,HR,11,87,+385953411856,,,unclaimed,unclaimed,queued,,,,0,
A,15,ag-margaris-car-rentals,AG Margaris Car Rentals,zakynthos,GR,11,77,+306987884991,,,unclaimed,unclaimed,queued,,,,0,
A,16,rent-a-car-pb,Rent a Car PB,podgorica,ME,11,52,+38269019148,,,unclaimed,unclaimed,queued,,,,0,
A,17,apex-car-montenegro,Apex Car Montenegro,podgorica,ME,10,989,+38267505553,,,unclaimed,unclaimed,queued,,,,0,
A,18,rent-a-star-troms,Rent A Star Tromsø,tromso,NO,10,304,+4797966666,,,unclaimed,unclaimed,queued,,,,0,
A,19,jimmy-auto-moto,Jimmy auto & moto,brindisi,IT,10,55,+393703391864,,,unclaimed,unclaimed,queued,,,,0,
A,20,abi-rental,Abi Rental,tirana,AL,9,331,+355694796088,,,unclaimed,unclaimed,queued,,,,0,
B,21,s-t-a-l-k-e-r-rent-a-car,S.T.A.L.K.E.R. Rent a Car,podgorica,ME,9,65,+38267252335,,,unclaimed,unclaimed,queued,,,,0,
B,22,easy-rent-pula,Easy Rent Pula,pula,HR,9,250,+385997889159,,easyrentpula@gmail.com,claimed,trial,queued,,,,0,
B,23,costa-car-rental-tivat-airport,Costa Car Rental Tivat Airport,tivat,ME,9,511,+38268424655,,,unclaimed,unclaimed,queued,,,,0,
B,24,easy-rent,Easy Rent,dubrovnik,HR,8,1507,+385916049430,,,unclaimed,unclaimed,queued,,,,0,
B,25,cosmorent-thessaloniki-airport,Cosmorent Thessaloniki Airport,thessaloniki,GR,8,766,+306981010710,,,unclaimed,unclaimed,queued,,,,0,
B,26,bridge-g-a-rental-car-parking-taxi-service,"Bridge G.A. Rental Car, Parking, Taxi Service",durres,AL,8,152,,,,unclaimed,unclaimed,queued,,,,0,
B,27,elite-rentals-santorini,Elite Rentals Santorini,santorini,GR,8,26,+306987602195,,,unclaimed,unclaimed,queued,,,,0,
B,28,fine-car-rent-a-car-podgorica-airport,"""Fine-Car""- rent a car Podgorica airport",podgorica,ME,8,299,+38267626558,,,unclaimed,unclaimed,queued,,,,0,
B,29,rent-a-car-blue-palma,Rent a Car Blue Palma,palma,ES,7,988,+34655066674,,,unclaimed,unclaimed,queued,,,,0,
B,30,tic-rent-car-tirana-noleggio-auto,Tic Rent Car Tirana - Noleggio Auto,tirana,AL,7,554,+355697066622,,,unclaimed,unclaimed,queued,,,,0,
B,31,petani-agency-rent-a-car-tirana-office,Petani Agency Rent A Car-Tirana Office,tirana,AL,7,242,+355696036653,,,unclaimed,unclaimed,queued,,,,0,
B,32,tuva-rent-a-car-auto-gallery,Tuva Rent A Car & Auto Gallery,larnaca,CY,7,65,+905338439079,,,unclaimed,unclaimed,queued,,,,0,
B,33,bliss-ibiza-rent-car,BLISS IBIZA RENT CAR,ibiza,ES,7,61,+393508652582,,,unclaimed,unclaimed,queued,,,,0,
B,34,soa-car-rental,SOA Car Rental,saranda,AL,7,41,+355698133923,,,unclaimed,unclaimed,queued,,,,0,
B,35,rent-a-car-pilot,Rent a car PILOT,podgorica,ME,7,56,+38269757527,,,unclaimed,unclaimed,queued,,,,0,
B,36,port-cars-rent-a-car-barcelona,Port Cars Rent A Car Barcelona,barcelona,ES,6,967,+34620115717,,,unclaimed,unclaimed,queued,,,,0,
B,37,flycar-bari,FLYCAR,bari,IT,6,503,+393513183406,,,unclaimed,unclaimed,queued,,,,0,
B,38,sabuna-car-rental,Sabuna Car Rental,chania,GR,6,328,+306999111150,,,unclaimed,unclaimed,queued,,,,0,
B,39,daniel-s-car-rentals-san-gwann,Daniel’s Car Rentals San Gwann,malta,MT,6,265,+35699461769,,,unclaimed,unclaimed,queued,,,,0,
B,40,zenitcars-car-rental-barcelona-airport-free-shuttle-alquiler,ZenitCars – Car Rental Barcelona Airport | Free Shuttle – Alquiler de Coches Aeropuerto Barcelona | Shuttle Gratis,barcelona,ES,6,261,+34689016289,,,unclaimed,unclaimed,queued,,,,0,
B,41,arsi-rent-a-car,Arşi Rent a Car,larnaca,CY,6,176,+905338851002,,,unclaimed,unclaimed,queued,,,,0,
B,42,armida-rent-a-car,Armida Rent a Car,larnaca,CY,6,68,+905338860202,,,unclaimed,unclaimed,queued,,,,0,
B,43,helens-self-drive-cars-ltd,helens self drive cars ltd,larnaca,CY,6,67,+35724644036,,,unclaimed,unclaimed,queued,,,,0,
B,44,bto-agency,BTO Agency,chania,GR,6,55,+306996094584,,,unclaimed,unclaimed,queued,,,,0,
B,45,ideal-rent-a-car,Ideal RENT A CAR,chania,GR,6,52,+302825061650,,,unclaimed,unclaimed,queued,,,,0,
B,46,vitanis-moto-atv-rental,Vitanis Moto ATV Rental,santorini,GR,6,42,+302286032010,,,unclaimed,unclaimed,queued,,,,0,
B,47,rent-a-car-it-tivat-montenegro,Rent a car IT Tivat Montenegro,tivat,ME,6,36,+38267208401,,,unclaimed,unclaimed,queued,,,,0,
B,48,autoshira-car-rental,Autoshira Car Rental,tirana,AL,6,34,+355696800242,,,unclaimed,unclaimed,queued,,,,0,
B,49,maxx-rent-a-car,MAXX rent a car,larnaca,CY,6,68,+905338282929,,,unclaimed,unclaimed,queued,,,,0,
B,50,juanvicars-rent-a-car-fuerteventura,Juanvicars Rent a Car Fuerteventura,fuerteventura,ES,6,38,+34696047964,,,unclaimed,unclaimed,queued,,,,0,
